epoch,train_loss,val_threshold,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1
1,0.965206014837487,0.9,0.03970465738135699,0.7369055746476915,0.046674154498939226,0.19258496395468588,0.07513812154696133
2,0.5592470922378193,0.8,0.03270196390681079,0.7236874593173214,0.04046826117670804,0.20648815653964986,0.0676736140410092
3,0.36849765475706303,0.6,0.034265469081982636,0.7294951242444698,0.036535859269282815,0.37538619979402676,0.0665905457867093
4,0.2849643026937565,0.7,0.02977408994269398,0.7033846629081623,0.037822979659153384,0.17713697219361482,0.062335779650267285
5,0.23051065118388045,0.05,0.028927460871001596,0.7027091663986443,0.03483242246658326,0.272399588053553,0.06176659466402008
6,0.19443116614254416,0.05,0.02415430838205373,0.6715232713698779,0.0306537163325756,0.22914521112255407,0.0540737590376086
7,0.17517009827205826,0.7,0.027683712690148934,0.6912210153371334,0.03549112721819545,0.21936148300720906,0.061097167443528146
8,0.15364087923252615,0.05,0.024568198440687895,0.6756552775786165,0.027970534856410805,0.2698249227600412,0.050686786612497585
