epoch,train_loss,val_threshold,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1
1,1.0097926679349394,0.85,0.036919310728191435,0.7064250399826164,0.04965315808689302,0.21009268795056643,0.08032286642386062
2,0.63845536113428,0.85,0.02841011692873556,0.6843359984252391,0.035184298707515556,0.1513903192584964,0.05709846572149932
3,0.4357020838995309,0.85,0.031070703644751105,0.6940064870121285,0.044823343294076286,0.131307929969104,0.06683265627047569
4,0.3383364529976704,0.8,0.032313466412282055,0.7058598739898501,0.04688386877057555,0.21266735324407826,0.0768300623197842
5,0.27453561203863397,0.9,0.02917101271214,0.6917703926938676,0.03815361521140856,0.15705458290422245,0.06139291465378422
6,0.23333393692706242,0.75,0.029129788999179458,0.6908448931193912,0.042939481268011524,0.15345005149330587,0.06710200405314118
