epoch,train_loss,val_threshold,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1
1,1.0010433428543883,0.85,0.031053446587390718,0.7011430344700413,0.0340201245807379,0.18280123583934088,0.05736446634887291
2,0.6170106475840057,0.9,0.03202543582048762,0.7067658601937211,0.044014904517931996,0.19464469618949537,0.07179487179487179
3,0.40132636861495125,0.9,0.028463774320969606,0.6989726458291965,0.034797858593317334,0.194129763130793,0.05901690670006262
4,0.30276577832842555,0.9,0.029059589158087935,0.6851297087732602,0.03863745787193067,0.16529351184346036,0.06263414634146341
5,0.2575011256885486,0.8,0.028945161396340815,0.6976285644620239,0.03623664749383731,0.22708547888774458,0.0625
6,0.21851578242686434,0.95,0.027058205283989695,0.6271087805713238,0.03171247357293869,0.13903192584963955,0.051644988523335884
7,0.18711206045888043,0.05,0.026184110788066758,0.6806004615216045,0.02627481510315298,0.4866117404737384,0.04985754985754986
8,0.16768893463525905,0.35,0.028327920038489565,0.6691071882003097,0.025177346203046867,0.22296601441812564,0.04524555903866249
