exp_name,run_name,backbone_name,model_type,use_physics,epochs,best_threshold,params_trainable,latency_per_clip_sec,test_pr_auc,test_roc_auc,test_precision,test_recall,test_f1,event_detection_rate,missed_detection_rate,mean_lead_time_sec,median_lead_time_sec,false_alarms_per_min,clip_prediction_stability
abl_w2p0s_l2p0s_s0p2s_embedding_only,w2p0s_l2p0s_s0p2s,convnext_tiny,embedding_only,False,6,0.8,827266,7.439049936476208e-06,0.020009297293018823,0.6200890842560021,0.025439817744589293,0.10573382430299842,0.041012038359518464,0.1643192488262911,0.8356807511737089,1.3794285714285714,1.6,1.6656094824345329,0.9882513997775267
abl_w2p0s_l2p0s_s0p2s_physics_only,w2p0s_l2p0s_s0p2s,convnext_tiny,physics_only,True,6,0.75,77506,7.739556687218802e-06,0.0288337388516316,0.6474748974640645,0.048762467676394534,0.13887427669647553,0.07218045112781955,0.26291079812206575,0.7370892018779343,1.2435714285714285,1.5,2.934956316760458,0.9782136935730006
abl_w2p0s_l2p0s_s0p2s_fusion,w2p0s_l2p0s_s0p2s,convnext_tiny,fusion,True,8,0.85,880082,1.1052670223372324e-05,0.026748078143816884,0.6670978522842885,0.03996366939146231,0.11572856391372961,0.059411288144747505,0.1784037558685446,0.8215962441314554,1.4431578947368422,1.66,2.8543974267603565,0.979354813938815
