exp_name,run_name,backbone_name,model_type,use_physics,epochs,best_threshold,params_trainable,latency_per_clip_sec,test_pr_auc,test_roc_auc,test_precision,test_recall,test_f1,event_detection_rate,missed_detection_rate,mean_lead_time_sec,median_lead_time_sec,false_alarms_per_min,clip_prediction_stability
horizon_w0p5s_l2p0s_s0p2s_effb0_baseline,w0p5s_l2p0s_s0p2s,effb0,embedding_only,False,6,0.95,925570,7.894111885910943e-06,0.006218192521606906,0.6427169854454011,0.0109204368174727,0.030303030303030304,0.016055045871559634,0.03755868544600939,0.9624413145539906,0.355,0.36,0.4376307267573087,0.9963305987012059
horizon_w1p0s_l2p0s_s0p2s_effb0_baseline,w1p0s_l2p0s_s0p2s,effb0,embedding_only,False,6,0.95,925570,1.2584562812532698e-05,0.014698790546371283,0.6582713629413524,0.026079869600651995,0.06625258799171843,0.03742690058479532,0.07511737089201878,0.9248826291079812,0.7749999999999999,0.9,0.6684210602711133,0.9945661417787242
horizon_w2p0s_l2p0s_s0p2s_effb0_baseline,w2p0s_l2p0s_s0p2s,effb0,embedding_only,False,6,0.85,925570,7.440336048603058e-06,0.025238162672943393,0.650301112713325,0.02885768110977907,0.17727511835875856,0.0496354665291995,0.22535211267605634,0.7746478873239436,1.5274999999999999,1.76,2.7172295870304537,0.9813482079173604
horizon_w3p0s_l2p0s_s0p2s_effb0_baseline,w3p0s_l2p0s_s0p2s,effb0,embedding_only,False,6,0.85,925570,9.581313601561955e-06,0.03454762474917135,0.6631764150785961,0.03776521242931991,0.2589825684809676,0.0659181455994205,0.39436619718309857,0.6056338028169014,2.1661904761904758,2.84,3.3203326283825656,0.9759330718291143
