exp_name,run_name,backbone_name,model_type,use_physics,epochs,best_threshold,params_trainable,latency_per_clip_sec,test_pr_auc,test_roc_auc,test_precision,test_recall,test_f1,event_detection_rate,missed_detection_rate,mean_lead_time_sec,median_lead_time_sec,false_alarms_per_min,clip_prediction_stability
temp_w2p0s_l2p0s_s0p2s_fusion_meanpool,w2p0s_l2p0s_s0p2s,convnext_tiny,fusion_meanpool,True,8,0.85,212881,3.602488764694759e-06,0.023611946436823603,0.6309156923867656,0.026379729260673376,0.039978958442924775,0.03178586365537432,0.051643192488262914,0.9483568075117371,1.4763636363636363,1.84,0.607457575946712,0.9960279592173115
temp_w2p0s_l2p0s_s0p2s_fusion_gru,w2p0s_l2p0s_s0p2s,convnext_tiny,fusion_gru,True,8,0.9,435410,2.3983152849333627e-05,0.023791915227635508,0.6309111843805485,0.0344180225281602,0.08679642293529721,0.04929051530993279,0.13615023474178403,0.863849765258216,1.3572413793103448,1.64,1.0690382429743213,0.9929148827129569
