epoch,train_loss,val_threshold,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1
1,0.9836561063011691,0.95,0.03889672207639431,0.7493639580863355,0.04586475460501916,0.1910401647785788,0.07397069085833916
2,0.6335434121623126,0.85,0.03092398002276577,0.7056915291826416,0.03691759314266316,0.22399588053553038,0.0633879781420765
3,0.4358648594592263,0.8,0.03013581087079054,0.6999875170409106,0.03470247498683517,0.339340885684861,0.06296579399961781
4,0.3253244585950728,0.9,0.02864442124331125,0.7003467709894111,0.03751774487933482,0.19052523171987643,0.0626906133514063
5,0.2671991644633343,0.65,0.030338870915595725,0.6865078205790678,0.038143110585452396,0.26570545829042225,0.06670976082740789
6,0.23144310012551164,0.35,0.030985217437509552,0.7111967628565741,0.0360900487862223,0.3161688980432544,0.0647850171458718
7,0.20062785585715276,0.85,0.028953718764493333,0.6977141253938952,0.040544454097885894,0.14418125643666324,0.06329113924050633
8,0.17754490472212772,0.95,0.028831964468147998,0.6925436459918853,0.045080190723883834,0.10710607621009269,0.06345332519829164
