epoch,train_loss,val_threshold,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1
1,1.02271191145158,0.85,0.03159798461003442,0.7110774953760309,0.04036594734269153,0.2976313079299691,0.07109033884754935
2,0.6729904700818792,0.8,0.03038863883829271,0.695465305399005,0.04074592074592075,0.22502574665293512,0.06899818425830899
3,0.4513004170325791,0.8,0.027436401707134045,0.6854386918006024,0.0353251898316276,0.2203913491246138,0.06089059610186371
4,0.34412769357011336,0.75,0.027846242728591847,0.6803316888333625,0.03719954215948111,0.2008238928939238,0.06277160791887977
5,0.2883862361582092,0.7,0.029399473155080062,0.6873203665279572,0.03669724770642202,0.1874356333676622,0.061377624146362025
6,0.23816677186541663,0.5,0.026614378368942013,0.6628178589118847,0.03345255628024406,0.24562306900102987,0.05888525399666687
