epoch,train_loss,val_threshold,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1
1,1.0250639469479281,0.7,0.026952457928371046,0.6851131244075663,0.03170414563255316,0.42687950566426364,0.05902456390174439
2,0.6610923587739929,0.95,0.02776576660338293,0.6860126827951979,0.03961352657004831,0.10556127703398559,0.05760854292538991
3,0.4426753768368699,0.8,0.030485215319099295,0.695264889487505,0.04275874407370964,0.24613800205973224,0.0728603002819907
4,0.34539484885246263,0.7,0.025452663902069874,0.6800218600933393,0.030429913822484056,0.3218331616889804,0.05560250878519639
5,0.27578501961687735,0.3,0.024150288063416306,0.6685309979528795,0.027750887383026782,0.39855818743563337,0.05188884792008849
6,0.25057962227012953,0.25,0.024847003479674883,0.6645672865683304,0.02867231037563279,0.3470648815653965,0.05296868246296515
