epoch,train_loss,val_threshold,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1
1,1.008101345367269,0.95,0.03673090587981974,0.7170763553473397,0.0595959595959596,0.09114315139031925,0.07206840390879479
2,0.6593417479103161,0.9,0.033643019265694435,0.7219955321258977,0.04290053151100987,0.174562306900103,0.06887444128403088
3,0.44137408619937274,0.85,0.03144257003388675,0.7155117269079472,0.04300127338622784,0.22605561277033986,0.07225742737223274
4,0.3348907320821816,0.65,0.03281806734618972,0.7113649437194804,0.040347518774849066,0.282183316168898,0.07060036073177016
5,0.27194329549454505,0.15,0.029319277879506066,0.6925033616779169,0.0324617615416998,0.3573635427394439,0.059517173363063336
6,0.2288757484999753,0.9,0.030173727344690652,0.7006941929576613,0.04094010614101592,0.16683831101956745,0.06574675324675325
7,0.2027614378783622,0.65,0.029678827473205105,0.6741956774573233,0.04026618542747575,0.18383110195674562,0.06606217616580311
8,0.18643033805461814,0.7,0.03046840425145419,0.6809854507269119,0.04719713750212984,0.14263645726055613,0.07092561771860197
