epoch,train_loss,val_threshold,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1
1,1.2194181781444937,0.75,0.029806072610471614,0.6776808794087531,0.0351143493219996,0.17868177136972194,0.058694181326116375
2,1.1615161595655714,0.7,0.02706076662200761,0.6836194758537514,0.0304089763395398,0.38516992790937177,0.056367746797287115
3,1.1267128995038824,0.75,0.02705046949911047,0.6689308741005566,0.03124241197895589,0.19876416065911431,0.053997342099741205
4,1.0993464560750232,0.75,0.0271665507948377,0.6597932864680285,0.029322548028311426,0.28372811534500514,0.053151979935368736
5,1.0726167907365896,0.75,0.026487277031173196,0.663381839307441,0.03033662568030639,0.309989701338826,0.055264848985587076
6,1.0441640303978847,0.8,0.02574033139666397,0.6604002862483511,0.029906211290037163,0.2610710607621009,0.053664990738290556
