epoch,train_loss,val_threshold,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1
1,0.9529174013440829,0.85,0.033102601202320295,0.71013957402168,0.05452562704471101,0.10298661174047374,0.07130124777183601
2,0.5380422085843151,0.9,0.03501365312441423,0.7019941533143297,0.0380131163468545,0.1611740473738414,0.06151729559748428
3,0.3630584000747996,0.6,0.03055632718709024,0.6912363641225985,0.03325520070319367,0.23377960865087538,0.05822752340643837
4,0.26686138327864795,0.2,0.027643642815026345,0.6856707769529212,0.0342156229825694,0.24562306900102987,0.060064219605867906
5,0.22034247577721577,0.05,0.026731935703104594,0.6830368677866857,0.029164732199383783,0.35581874356333676,0.053910669007216694
6,0.18813046418905094,0.15,0.029226319776230514,0.6721697697311106,0.030114779316057272,0.26210092687950565,0.054022500530672896
7,0.16492686867666376,0.05,0.02441140058616406,0.6644372607427843,0.02643775703374894,0.20854788877445932,0.046926597532008577
8,0.14902629390366434,0.05,0.025995801444518418,0.677649983905068,0.029026856044160516,0.24098867147270855,0.051812897868807085
