epoch,train_loss,val_threshold,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1
1,1.0218623926975179,0.85,0.0335714686016726,0.7003751853360347,0.04458261674824712,0.17353244078269825,0.070939901063046
2,0.6663780782533033,0.75,0.02952179183125274,0.6800569841604293,0.035514317709166535,0.2286302780638517,0.06147881473276101
3,0.46850063335034337,0.6,0.029178300473353114,0.7036350458440651,0.03226916788572412,0.3861997940267765,0.059561626429479035
4,0.3508022803770557,0.25,0.027259106731830355,0.6838750210358534,0.03359482603748727,0.28887744593202885,0.06018990397510863
5,0.2883626227180478,0.75,0.026892624644350643,0.6610173406127696,0.03701178533164508,0.1956745623069001,0.062249160455401756
6,0.24308833474054903,0.15,0.02620169080906435,0.6796634058731422,0.03141541211246305,0.2353244078269825,0.05543089332282127
