epoch,train_loss,val_threshold,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1
1,1.1366547452970115,0.8,0.019158236995415703,0.7209450836933402,0.026681024168461354,0.2263959390862944,0.047736273145670555
2,0.8869087135175617,0.85,0.016853361774589102,0.7240414897202588,0.018945356420058467,0.34213197969543147,0.035902626111969316
3,0.7056762571581111,0.95,0.019943979912210558,0.719375634595985,0.03425985778926956,0.10761421319796954,0.051973522922284875
4,0.5768477201814092,0.95,0.016955639110620153,0.7036698371468604,0.025680220116172426,0.08527918781725888,0.039473684210526314
5,0.46884441624412576,0.85,0.01567298507886746,0.6919422217588214,0.0245520902455209,0.11269035532994924,0.04031965128950236
6,0.40045024547221625,0.95,0.017379570046403784,0.6984723899464587,0.037371910789632305,0.06294416243654823,0.046898638426626324
