epoch,train_loss,val_threshold,val_pr_auc,val_roc_auc,val_precision,val_recall,val_f1
1,1.2382585387966947,0.8,0.008754981919550276,0.7217998369711662,0.014234875444839857,0.058823529411764705,0.022922636103151862
2,1.0749942175374956,0.95,0.010482646048702974,0.7365573267449498,0.022239872915011914,0.058823529411764705,0.03227665706051873
3,0.9332017542325028,0.9,0.007152500770183515,0.7061386088115912,0.01597444089456869,0.02100840336134454,0.018148820326678767
4,0.821743053894458,0.95,0.010157877159461728,0.7303483326007438,0.025380710659898477,0.052521008403361345,0.034223134839151265
5,0.7154235705016897,0.95,0.009803620314352548,0.7461506892842844,0.022748815165876776,0.05042016806722689,0.031352057478772045
6,0.6294888972130156,0.85,0.008403837579037872,0.6908124218634795,0.010612425381384037,0.10084033613445378,0.01920384076815363
